Country,health_count,total_sentences,total_words,health_percent,population,sids,income,democracy,health_expenditure,coal_rents,temperature_change,air_pollution,HES,HES_1,HES_2,HES_3,HES_4,health_topic,economy_topic,energy_topic,agri_topic,Other_1,Other_2,eu
BRA,2,217,4713,0.0424358158285593,19.14417839050293,0,9.072558403015137,8.666666030883789,9.206205606,0.006288168,0.739080271,11.5,1,1,0,0,0,0.10212432679121825,0.1265231931127536,0.3742442214195427,0.0756352300591541,0.13006059797425992,0.19141243064307148,Non-EU
BRB,4,95,3738,0.1070090957731407,12.563033103942871,1,9.737250328063965,10,6.852003932,0,0.519795754,22.200000762939453,2,1,1,0,0,0.1685995577730223,0.20567947633968892,0.3020792627840129,0.07385473886363932,0.1360746367333624,0.1137123275062742,Non-EU
BTN,7,91,3263,0.21452650934722645,13.509947776794434,0,7.982949733734131,6.6666669845581055,3.487767652,0,0.734362408,35.29999923706055,3,1,1,1,0,0.2043925440047159,0.2026019478426487,0.17347485065038556,0.21523281824170093,0.11125877554299818,0.09303906371755076,Non-EU
BWA,6,43,1302,0.4608294930875576,14.585593223571777,0,8.887908935546875,8.25,5.560522154,0.253354507,1.601639252,21.200000762939453,3,1,1,1,0,0.2449284377786647,0.1784968003232014,0.2341495001628205,0.1246857413667638,0.12364341978967712,0.09409610057887254,Non-EU
CAF,17,191,5518,0.3080826386371874,15.327927589416504,0,5.996248722076416,4,4.281501472,0,0.542062718,49.5,4,1,1,1,1,0.13487187701243067,0.1044089949245198,0.14553584795413185,0.3507030732576961,0.17449086337137978,0.08998934347984187,Non-EU
CAN,3,77,2821,0.10634526763559021,17.40206527709961,0,10.652067184448242,10,10.73787659,0.0797047,0.841420063,6.5,2,1,1,0,0,0.13702332472836418,0.18352407888447136,0.4622150412784921,0.04464346366672612,0.10976048384383888,0.0628336075981074,Non-EU
CHE,1,114,2712,0.03687315634218289,15.940563201904297,0,11.291932106018066,10,12.22136542,0,0.605138772,10.199999809265137,1,1,0,0,0,0.06258701116846342,0.13276654746359498,0.5459385596974858,0.04274204456182391,0.11980363542163924,0.09616220168699272,Non-EU
CHL,3,224,6328,0.04740834386852086,16.717430114746094,0,9.528655052185059,10,8.51739347,0.012320253,0.685653125,21,2,1,1,0,0,0.10881617328781722,0.1354412391377655,0.2821168883326391,0.06616933305658962,0.2516962652283133,0.15576010095687529,Non-EU
CHN,3,104,5289,0.05672149744753262,21.044382095336914,0,8.996997833251953,1.1666666269302368,4.981880635,0.4131106,0.800822456,49.20000076293945,1,1,0,0,0,0.14755449444748883,0.24111850123487313,0.2800841670479698,0.12417659369393028,0.07824282831490006,0.12882341526083793,Non-EU
CIV,15,104,8062,0.18605805011163482,16.98615074157715,0,7.300913333892822,6,4.536222667,0,0.760409803,23.700000762939453,4,1,1,1,1,0.11457498966200633,0.11923460492497552,0.09619892931809342,0.42095761081229127,0.1373828212792972,0.11165104400333624,Non-EU
CMR,9,105,7177,0.12540058520273095,16.99049949645996,0,7.217739582061768,2.3333332538604736,4.679078981,0,0.722532353,65.30000305175781,4,1,1,1,1,0.12549465075428157,0.15700320683954103,0.1202077248704351,0.2991358382336343,0.1535554917953297,0.1446030875067783,Non-EU
COD,4,117,3723,0.10744023636852001,18.18228530883789,0,6.155534744262695,2.1666667461395264,3.887424991,0,0.857287719,37.599998474121094,2,1,1,0,0,0.13497024561868698,0.196215410528798,0.09023593607994586,0.21392501212772813,0.21007870040145657,0.15457469524338455,Non-EU
COG,1,147,5647,0.017708517797060386,15.421140670776367,0,7.503324508666992,2.3333332538604736,3.48694697,0,1.48240026,38.70000076293945,1,1,0,0,0,0.07521983287718935,0.1594886085552956,0.1382642131449864,0.19217103088471305,0.18866527331100288,0.2461910412268128,Non-EU
COL,2,130,4488,0.044563279857397504,17.690275192260742,0,8.677818298339844,7.5833330154418945,7.213679701,0.619311806,1.15009486,15.199999809265137,1,1,0,0,0,0.11364511748602872,0.17401514818506267,0.20371604304497715,0.1043552315811732,0.2259630850239772,0.17830537467878116,Non-EU
